"date","lat","lon","region","site","band_id","species","sex","ageclass","mass","Massinacuracy","forearm","ear","repro_status","Comments","capture_time","release_time","month","season"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0168","Myotis lucifugus","Female","Adult",9.300000191,NA,39.79999924,13,"LAC","milk","23:50","0:08",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0638","Myotis lucifugus","Female","Adult",8.899999619,NA,39.09999847,12,"NOP",NA,"23:51","0:12",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0717","Myotis lucifugus","Female","Adult",9.399999619,"*",38,13,"NOP","Full belly","0:58","2:01",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0718","Myotis lucifugus","Female","Adult",11.80000019,"*",39.90000153,12,"LAC","Full belly","0:40","1:58",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0719","Myotis lucifugus","Female","Adult",10.5,NA,41,12,"NOP",NA,"0:40","1:56",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0721","Myotis lucifugus","Female","Adult",10,"*",39.79999924,13,"LAC","Full belly","0:40","1:51",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0722","Myotis lucifugus","Female","Adult",11.39999962,"*",41.5,14,"LAC","Full belly; milk, smallish nips","0:40","1:49",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0723","Myotis lucifugus","Female","Adult",11.19999981,NA,39,11,"NOP",NA,"0:30","1:47",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0724","Myotis lucifugus","Female","Adult",9.800000191,NA,39.90000153,13,"LAC",NA,"0:30","1:46",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0725","Myotis lucifugus","Female","Adult",11.10000038,NA,40.5,11,"LAC",NA,"0:20","1:45",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0727","Myotis lucifugus","Female","Adult",10.19999981,NA,41,13,"LAC",NA,"0:30","1:39",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0728","Myotis lucifugus","Female","Adult",9.199999809,NA,40,12,"NOP",NA,"0:20","1:18",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0729","Myotis lucifugus","Female","Adult",9.5,NA,40.5,14,"NOP",NA,"0:20","1:16",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0730","Myotis lucifugus","Female","Adult",10,"*",39.5,12,"LAC","Full belly; white spots on wings, looks like ticks","0:20","1:14",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0731","Myotis lucifugus","Female","Adult",10.69999981,NA,41.5,12,"LAC","measured forearm with ruler","0:20","1:12",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0732","Myotis lucifugus","Female","Adult",9.699999809,NA,39.90000153,12,"NOP",NA,"23:50","1:10",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0733","Myotis lucifugus","Female","Adult",9.199999809,NA,39.79999924,12,"LAC",NA,"23:39","0:06",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0734","Myotis lucifugus","Female","Adult",9.600000381,NA,40.70000076,14,"LAC","little milk","23:26","0:05",7,"Summer"
2012-07-24,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0735","Myotis lucifugus","Female","Adult",10,NA,40.90000153,11,"LAC","milk; rain, started at 00:40, lightning and thunder, downpour started at 1:00","23:44","0:00",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0754","Myotis lucifugus","Female","Adult",8.399999619,NA,40,12,"NOP",NA,"23:13","1:44",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0756","Myotis lucifugus","Female","Adult",8.5,NA,39.09999847,12,"NOP",NA,"23:12","1:38",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0762","Myotis lucifugus","Female","Adult",8.199999809,NA,39.40000153,12,"NOP",NA,"23:11","1:21",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0763","Myotis lucifugus","Female","Adult",9.100000381,NA,38.79999924,12,"NOP",NA,"23:11","1:20",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0767","Myotis lucifugus","Female","Adult",7.800000191,NA,37.70000076,12,"NOP","fleas","23:10","1:12",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0768","Myotis lucifugus","Female","Adult",8.100000381,NA,38.59999847,11,"NOP",NA,"23:10","1:11",7,"Summer"
2012-07-25,60.1,-112.7,"Little Buffalo Falls","SSR-1","UC0777","Myotis lucifugus","Female","Adult",8.100000381,NA,39.29999924,13,"NOP",NA,"23:05","0:51",7,"Summer"
