D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328_#2.b\PCBN_PCBO_PCBP.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 16:42:53 using Batch PC_LGH_20230328_#2.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
320.7890,60.00,33.33,341342.88,14312.06,400.00,40.00,0.00
321.7638,90.00,66.67,348503.20,14061.87,366.67,10.00,0.00
322.7387,70.00,166.67,365685.20,14138.59,363.34,0.00,0.00
323.7135,20.00,0.00,362254.37,13738.30,390.00,0.00,0.00
324.6889,210.00,33.33,352780.31,14322.06,5004.00,112411.09,74385.74
325.6638,2868109.96,510188.16,10138799.18,368672.09,293636.24,2344045.75,115495.02
326.6386,2421497.62,1906659.03,31846723.63,185797.25,161795.81,2413801.37,62520.06
327.6140,1053792.02,1904778.43,32667125.73,99724.33,125674.86,2082721.69,22223.92
328.5888,727282.02,1571130.63,25365288.07,77293.55,107305.02,1579858.73,12974.75
329.5637,583785.34,1154631.28,19777765.03,64194.91,94429.63,1220984.98,15897.13
